ev_id,connection_minutes_5min,required_soc_percent
788,115,22.002
789,108,16.0
790,41,25.0
791,44,15.688
792,112,27.302
793,43,18.536
794,109,10.212
795,64,19.98
796,69,24.0
797,44,16.0
798,61,20.768
799,107,25.0
800,100,40.0
801,106,74.002
802,89,34.856
803,117,20.3
804,110,20.0
805,97,78.0
806,118,24.0
807,81,2.644
808,57,2.506
809,69,48.0
810,49,14.676
811,58,24.0
812,46,25.0
813,51,33.368
814,87,42.5
815,47,3.294
816,67,64.0
817,46,100.0
818,46,17.432
819,26,25.28
820,53,12.322
821,11,11.516
822,22,22.048
823,11,13.32
824,23,19.52
825,71,19.98
826,117,40.0
827,111,23.716
828,64,18.102
829,109,35.4
830,33,24.0
831,109,17.732
832,130,15.0
833,104,100.0
834,41,21.0
835,32,32.0
836,71,56.0
837,68,80.0
838,56,7.0
839,45,30.25
840,117,69.96
841,22,16.0
842,40,19.882
843,36,70.0
844,47,32.0
845,70,33.658
846,24,19.98
847,44,18.0
848,18,12.72
849,39,27.994
850,37,8.792
851,39,32.0
852,49,14.0
853,33,24.0
854,48,16.0
855,52,15.0
856,32,19.98
857,2,1.316
858,18,32.0
859,66,40.0
860,62,19.994
861,119,32.0
862,85,31.866
863,32,7.348
864,28,9.768
865,44,12.92
866,16,8.008
867,20,15.0
868,23,22.766
869,29,29.368
870,17,30.25
871,27,25.544
872,2,1.6
873,83,32.0
874,17,18.436
875,48,80.0
876,140,19.98
877,75,34.858
878,157,69.96
879,61,10.886
880,111,40.0
881,106,24.932
882,116,25.0
883,118,37.5
884,2,25.0
885,117,34.866
886,129,7.572
887,115,14.0
888,103,34.834
889,118,80.0
890,51,100.0
891,122,100.0
892,123,24.0
893,118,60.0
894,130,28.32
895,127,10.0
896,114,24.0
897,48,17.76
898,97,20.46
899,104,32.0
900,79,34.838
901,115,90.0
902,140,26.11
903,133,40.0
904,112,40.0
905,103,40.0
906,86,30.0
907,110,100.0
908,122,24.0
909,115,11.12
910,138,20.376
911,109,36.0
912,62,29.522
913,81,56.0
914,124,33.36
915,69,31.982
916,106,62.64
917,108,23.736
918,108,12.396
919,84,76.44
920,108,78.0
921,11,6.22
922,111,56.0
923,98,11.156
924,40,25.0
925,134,34.928
926,24,16.0
927,107,34.78
928,139,32.0
929,38,1.406
930,76,100.0
931,61,3.394
932,41,4.924
933,51,24.0
934,31,31.32
935,27,19.5
936,55,42.5
937,34,15.506
938,14,32.0
939,29,24.0
940,4,1.842
941,23,14.122
942,21,13.84
943,36,9.626
944,14,14.406
945,116,69.96
946,126,19.98
947,49,19.638
948,111,40.0
949,54,11.69
950,116,30.0
951,79,12.0
952,121,20.0
953,114,24.246
954,118,37.5
955,84,48.0
956,127,33.3
957,138,8.85
958,121,24.0
959,109,21.082
960,120,40.0
961,122,26.07
962,150,13.314
963,89,6.988
964,92,10.26
965,58,40.0
966,106,53.28
967,111,28.084
968,51,100.0
969,106,24.0
970,113,32.0
971,110,19.98
972,105,30.25
973,45,26.11
974,117,6.66
975,120,20.0
976,109,24.152
977,90,32.0
978,121,100.0
979,97,36.0
980,89,11.12
981,121,34.81
982,43,47.74
983,52,24.0
984,110,16.0
985,38,26.64
986,113,52.5
987,98,10.916
988,83,20.274
989,120,20.3
990,100,24.0
991,113,20.0
992,147,64.0
993,124,32.424
994,39,21.89
995,65,4.932
996,54,39.96
997,126,32.0
998,30,32.0
999,47,33.084
1000,48,26.104
1001,45,8.566
1002,35,27.284
1003,44,42.5
1004,21,21.114
1005,28,80.0
1006,117,40.0
1007,125,19.98
1008,152,69.96
1009,112,40.0
1010,118,34.44
1011,117,30.0
1012,123,37.5
1013,129,24.57
1014,119,30.0
1015,116,34.84
1016,123,32.0
1017,108,16.336
1018,181,64.0
1019,119,13.474
1020,115,33.3
1021,63,8.504
1022,113,36.0
1023,112,24.0
1024,50,26.11
1025,113,40.0
1026,130,10.102
1027,99,54.56
1028,115,40.0
1029,108,80.0
1030,136,64.0
1031,121,16.0
1032,101,16.0
1033,101,32.0
1034,142,10.88
1035,180,25.944
1036,107,36.0
1037,102,13.362
1038,45,5.54
1039,112,52.5
1040,79,23.892
1041,97,28.32
1042,111,83.52
1043,117,14.214
1044,122,100.0
1045,46,12.486
1046,103,24.0
1047,106,34.778
1048,108,25.782
1049,45,17.306
1050,112,78.0
1051,85,32.0
1052,112,4.82
1053,95,34.808
1054,34,35.0
1055,82,39.96
1056,104,9.132
1057,68,100.0
1058,59,3.246
1059,45,30.0
1060,47,8.422
1061,20,32.0
1062,44,5.21
1063,28,19.49
1064,43,42.5
1065,23,11.0
1066,26,14.638
1067,10,5.3
1068,41,34.778
1069,22,13.32
1070,68,20.0
1071,15,15.62
1072,131,19.98
1073,60,30.0
1074,117,40.0
1075,110,69.96
1076,121,34.932
1077,130,32.0
1078,107,13.302
1079,142,20.3
1080,110,26.826
1081,108,23.496
1082,95,30.0
1083,111,34.446
1084,105,23.064
1085,133,24.534
1086,106,100.0
1087,57,48.0
1088,73,19.322
1089,112,34.818
1090,107,33.3
1091,62,20.712
1092,111,50.0
1093,117,43.2
1094,117,10.15
1095,138,80.0
1096,125,17.026
1097,115,32.0
1098,121,16.0
1099,54,26.11
1100,102,36.0
1101,112,40.0
1102,96,40.92
1103,172,64.0
1104,69,34.848
1105,112,40.0
1106,61,10.972
1107,114,52.5
1108,100,100.0
1109,111,19.98
1110,104,30.25
1111,115,6.154
1112,62,5.47
1113,112,24.0
1114,46,50.0
1115,99,10.238
1116,111,34.786
1117,116,9.802
1118,105,33.3
1119,44,12.0
1120,109,5.25
1121,39,16.832
1122,114,78.0
1123,57,34.858
1124,54,14.2
1125,53,2.622
1126,63,25.026
1127,60,41.83
1128,38,12.466
1129,36,3.238
1130,44,24.752
1131,36,9.374
1132,38,17.21
1133,14,1.956
1134,31,16.952
1135,51,42.5
1136,25,32.0
